                                                                                                                                                                                                                                                                                                                              
                 MODELO                                  ANCHO                               N.º FILTROS                   M3/H            FONDO                                    N.º FILTROS   M3/H          FONDO                 N.º FILTRO   M3/H         FONDO                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      3500                                    14                       14000            1400                                         14        14000          1800                     14      14000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      3600                                    12                       12000            1400                                         12        12000          1800                     12      12000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      3700                                    14                       14000            1400                                         14        14000          1800                     14      14000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      3900                                    14                       14000            1400                                         14        14000          1800                     14      14000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      4000                                    16                       16000            1400                                         16        16000          1800                     16      16000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      4200                                    16                       16000            1400                                         16        16000          1800                     16      16000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      4400                                    16                       16000            1400                                         16        16000          1800                     16      16000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      4500                                    18                       18000            1400                                         18        18000          1800                     18      18000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      4600                                    16                       16000            1400                                         16        16000          1800                     16      16000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      4700                                    18                       18000            1400                                         18        18000          1800                     18      18000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      4900                                    18                       18000            1400                                         18        18000          1800                     18      18000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      5000                                    20                       20000            1400                                         20        20000          1800                     20      20000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      5100                                    18                       18000            1400                                         18        18000          1800                     18      18000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      5200                                    20                       20000            1400                                         20        20000          1800                     20      20000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      5400                                    20                       20000            1400                                         20        20000          1800                     20      20000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      5500                                    22                       22000            1400                                         22        22000          1800                     22      22000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      5600                                    20                       20000            1400                                         20        20000          1800                     20      20000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      5700                                    22                       22000            1400                                         22        22000          1800                     22      22000          2200                                                         
    CAMPANA ÓPTIMA INTEGRAL CENTRAL                      5900                                    22                       22000            1400                                         22        22000          1800                     22      22000          2200                                                         
