																
CAMPANA ÓPTIMA BÁSICA MURAL	ANCHO		FONDO 800				FONDO 1000				FONDO 1200					
		N.º FILTROS	REFERENCIA	PRECIO			REFERENCIA	PRECIO			REFERENCIA	PRECIO				
9/9 1/3 cv 	1000	2	CEOPMM9131080	1.337,43 €			CEOPMM9131010	1.408,08 €			CEOPMM9131012	1.494,72 €				
9/9 1/3 cv 	1200	2	CEOPMM9131280	1.415,36 €			CEOPMM9131210	1.489,87 €			CEOPMM9131212	1.584,70 €				
9/9 1/2 cv 	1200	2	CEOPMM9121280	1.430,06 €			CEOPMM9121210	1.504,57 €			CEOPMM9121212	1.599,40 €				
9/9 1/3 cv 	1500	3	CEOPMM9131580	1.537,37 €			CEOPMM9131510	1.615,40 €			CEOPMM9131512	1.729,77 €				
9/9 1/2 cv 	1500	3	CEOPMM9121580	1.552,07 €			CEOPMM9121510	1.630,10 €			CEOPMM9121512	1.744,47 €				
9/9 1/3 cv 	1700	3	CEOPMM9131780	1.625,69 €			CEOPMM9131710	1.710,45 €			CEOPMM9131712	1.831,16 €				
9/9 1/2 cv 	1700	3	CEOPMM9121780	1.640,39 €			CEOPMM9121710	1.725,15 €			CEOPMM9121712	1.845,86 €				
9/9 3/4 cv 	1700	3	CEOPMM9341780	1.665,59 €			CEOPMM9341710	1.750,35 €			CEOPMM9341712	1.871,06 €				
9/9 1/3 cv 	2000	4	CEOPMM9132080	1.755,14 €			CEOPMM9132010	1.846,78 €			CEOPMM9132012	1.980,09 €				
9/9 1/2 cv 	2000	4	CEOPMM9122080	1.769,84 €			CEOPMM9122010	1.861,48 €			CEOPMM9122012	1.994,79 €				
9/9 3/4 cv 	2000	4	CEOPMM9342080	1.795,04 €			CEOPMM9342010	1.886,68 €			CEOPMM9342012	2.019,99 €				
9/9 1/2 cv 	2200	4	CEOPMM9122280	1.836,11 €			CEOPMM9122210	1.930,53 €			CEOPMM9122212	2.070,98 €				
9/9 3/4 cv 	2200	4	CEOPMM9342280	1.861,31 €			CEOPMM9342210	1.955,73 €			CEOPMM9342212	2.096,18 €				
9/9 1/2 cv 	2400	4	CEOPMM9122480	2.150,74 €			CEOPMM9122410	2.265,73 €			CEOPMM9122412	2.423,48 €				
9/9 3/4 cv 	2400	4	CEOPMM9342480	2.175,94 €			CEOPMM9342410	2.290,93 €			CEOPMM9342412	2.448,68 €				
9/9 1/2 cv 	2500	5	CEOPMM9122580	1.965,09 €			CEOPMM9122510	2.065,38 €			CEOPMM9122512	2.217,67 €				
9/9 3/4 cv 	2500	5	CEOPMM9342580	1.990,29 €			CEOPMM9342510	2.090,58 €			CEOPMM9342512	2.242,87 €				
2 x 9/9 1/2 cv	2700	5	CEOPMM9122780	2.810,35 €			CEOPMM9122710	2.928,86 €			CEOPMM9122712	3.106,15 €				
2 x 9/9 3/4 cv	2700	5	CEOPMM9342780	2.860,75 €			CEOPMM9342710	2.979,26 €			CEOPMM9342712	3.156,55 €				
10/10 1 cv T	2700	5	CEOPMM1012780	2.297,95 €			CEOPMM1012710	2.416,46 €			CEOPMM1012712	2.593,75 €				
2 x 9/9 1/2 cv	2900	5	CEOPMM9122980	2.898,67 €			CEOPMM9122910	3.023,91 €			CEOPMM9122912	3.207,54 €				
